연번,역번호,호선,역명,역전화번호,Unnamed: 5,도로명주소,지번주소,Latitude,Longitude
21,211,2,성수,02-6110-2111,,서울특별시 성동구 아차산로 100(성수동2가),서울특별시 성동구 성수동2가 300-1 성수역(2호선),37.5446813,127.0569827
22,212,2,건대입구,02-6110-2121,,서울특별시 광진구 아차산로 243(화양동),서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),37.540734,127.0689614
23,213,2,구의(광진구청),02-6110-2131,,서울특별시 광진구 아차산로 384-1(구의동),서울특별시 광진구 구의동 245-24 구의역(2호선),37.5380692,127.0890292
24,214,2,강변(동서울터미널),02-6110-2141,,서울특별시 광진구 강변역로 53(구의동),서울특별시 광진구 구의동 546-6 강변역(2호선),37.5353816,127.0945451
25,215,2,잠실나루,02-6110-2151,,서울특별시 송파구 오금로 20(신천동),서울특별시 송파구 신천동 15 잠실나루역(2호선),37.5218791,127.0986358
26,216,2,잠실(송파구청),02-6110-2161,,서울특별시 송파구 올림픽로 지하265(신천동),서울특별시 송파구 신천동 8 잠실역(2호선),37.5140623,127.1020525
27,217,2,잠실새내,02-6110-2171,,서울특별시 송파구 올림픽로 지하140(잠실동),서울특별시 송파구 잠실동 33 잠실새내역(2호선),37.511632,127.085602
28,218,2,종합운동장,02-6110-2181,,서울특별시 송파구 올림픽로 지하23(잠실동),서울특별시 송파구 잠실동 122 종합운동장역(2호선),37.511037,127.073674
29,219,2,삼성(무역센터),02-6110-2191,,서울특별시 강남구 테헤란로 지하538(삼성동),서울특별시 강남구 삼성동 172-66 삼성역(2호선),37.5074089,127.0580262
30,220,2,선릉,02-6110-2201,,서울특별시 강남구 테헤란로 지하340(삼성동),서울특별시 강남구 삼성동 172-66 선릉역(2호선),37.5074089,127.0580262
31,221,2,역삼,02-6110-2211,,서울특별시 강남구 테헤란로 지하156(역삼동),서울특별시 강남구 역삼동 804 역삼역(2호선),37.501249,127.0383318
32,222,2,강남,02-6110-2221,,서울특별시 강남구 강남대로 지하396(역삼동),서울특별시 강남구 역삼동 858 강남역(2호선),37.4970559,127.0281806
33,223,2,"교대(법원, 검찰청)",02-6110-2231,,서울특별시 서초구 서초대로 지하294(서초동),서울특별시 서초구 서초동 1748-4 교대역(2호선),37.4887673,127.0190234
34,224,2,서초,02-6110-2241,,서울특별시 서초구 서초대로 지하233(서초동),서울특별시 서초구 서초동 1748-5 서초역(2호선),37.49184,127.007688
35,225,2,방배,02-6110-2251,,서울특별시 서초구 방배로 지하80(방배동),서울특별시 서초구 방배동 912-14 방배역(2호선),37.4812798,126.9970265
36,226,2,사당,02-6110-2261,,서울특별시 동작구 남부순환로 지하2089(사당동),서울특별시 동작구 사당동 1129 사당역(2호선),37.4764276,126.9763658
37,227,2,낙성대(강감찬),02-6110-2271,,서울특별시 관악구 남부순환로 지하1928(봉천동),서울특별시 관악구 봉천동 1693-39 낙성대역(2호선),37.4805452,126.9571127
38,228,2,서울대입구(관악구청),02-6110-2281,,서울특별시 관악구 남부순환로 지하1822(봉천동),서울특별시 관악구 봉천동 979-2 서울대입구역(2호선),37.482479,126.953844
39,229,2,봉천,02-6110-2291,,서울특별시 관악구 남부순환로 지하1721(봉천동),서울툭별시 관악구 봉천동 979-7 봉천역(2호선),37.4841786,126.9411998
40,230,2,신림,02-6110-2301,,서울특별시 관악구 남부순환로 지하1614(신림동),서울특별시 관악구 신림동 1467-10 신림역(2호선),37.4843296,126.9289318
41,231,2,신대방,02-6110-2311,,서울특별시 동작구 대림로 2(신대방동),서울특별시 동작구 신대방동 643-1 신대방역(2호선),37.487549,126.9129603
42,232,2,구로디지털단지,02-6110-2321,,서울특별시 구로구 도림천로 477(구로동),서울특별시 구로구 구로동 810-3 구로디지털단지역(2호선),37.485215,126.901594
43,233,2,대림(구로구청),02-6110-2331,,서울특별시 구로구 도림천로 351(구로동),서울특별시 구로구 구로동 1204 대림역(2호선),37.4952642,126.8938131
44,234,2,신도림,02-6110-2341,,서울특별시 구로구 새말로 지하 117-21(신도림동),서울특별시 구로구 신도림동 460-26 신도림역(2호선),37.5087378,126.891109
45,235,2,문래,02-6110-2351,,서울특별시 영등포구 당산로 지하28(문래동3가),서울특별시 영등포구 문래동3가 68-1 문래역(2호선),37.5182708,126.8945803
46,236,2,영등포구청,02-6110-2361,,서울특별시 영등포구 당산로 지하121(당산동3가),서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),37.5253665,126.8968631
47,237,2,당산,02-6110-2371,,서울특별시 영등포구 당산로 229(당산동6가),서울특별시 영등포구 당산동 6가 323-1 당산역(2호선),37.5352128,126.9026157
48,238,2,합정,02-6110-2381,,서울특별시 마포구 양화로 지하55(서교동),서울특별시 마포구 서교동 393 합정역(2호선),37.5508223,126.9150691
49,239,2,홍대입구,02-6110-2391,,서울특별시 마포구 양화로 지하160(동교동),서울특별시 마포구 동교동 165 홍대입구역(2호선),37.5563994,126.9238793
50,240,2,신촌(지하),02-6110-2401,,서울특별시 마포구 신촌로 지하90(노고산동),서울특별시 마포구 노고산동 31-11 신촌역(2호선),37.5562944,126.9399855
51,241,2,이대,02-6110-2411,,서울특별시 마포구 신촌로 지하180(염리동),서울특별시 마포구 염리동 8-85 이대역(2호선),37.5568514,126.9477302
52,242,2,아현,02-6110-2421,,서울특별시 마포구 신촌로 지하270(아현동),서울특별시 마포구 아현동 354-23 아현역(2호선),37.5567025,126.9548147
53,243,2,충정로(경기대입구),02-6110-2431,,서울특별시 서대문구 서소문로 지하17(충정로3가),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),37.5595485,126.963876
54,244,2,용답,02-6110-1341,,서울특별시 성동구 용답길 86(용답동),서울특별시 성동구 용답동 127 용답역(2호선),37.5602836,127.0556556
55,245,2,신답,02-6110-1351,,서울특별시 성동구 천호대로 232(용답동),서울특별시 성동구 용답동 129-2 신답역(2호선),37.5706952,127.0454382
57,247,2,도림천,02-6110-2441,,서울특별시 구로구 경인로67길 160(신도림동),서울특별시 구로구 신도림동 323-16 도림천역(2호선),37.51447,126.88264
58,248,2,양천구청,02-6110-2451,,서울특별시 양천구 목동로3길 지하33(신정동),서울특별시 양천구 신정동 276-7 양천구청역(2호선),37.5125613,126.8657426
59,249,2,신정네거리,02-6110-2461,,서울특별시 양천구 중앙로 지하261(신정동),서울특별시 양천구 신정동 1231 신정네거리역(2호선),37.5183294,126.8536292
60,250,2,용두(동대문구청),02-6110-1361,,서울특별시 동대문구 천호대로 지하129(용두동),서울특별시 동대문구 용두동 47-1 용두역(2호선),37.5754387,127.0384023
61,309,3,지축,02-6110-3191,,경기도 고양시 덕양구 삼송로 300(지축동),경기도 고양시 덕양구 지축동 818-64 지축역(3호선),37.6487922,126.911372
62,310,3,구파발,02-6110-3201,,서울특별시 은평구 진관2로 지하15-25 (진관동),서울특별시 은평구 진관동 67-26 구파발역(3호선),37.6375796,126.9185478
63,311,3,연신내,02-6110-3211,,서울특별시 은평구 통일로 지하849(갈현동),서울특별시 은평구 갈현동 397 연신내역(3호선),37.6191183,126.9211348
64,312,3,불광,02-6110-3221,,서울특별시 은평구 통일로 지하723-1(대조동),서울특별시 은평구 대조동 13-10 불광역(3호선),37.60916,126.931062
65,313,3,녹번,02-6110-3231,,서울특별시 은평구 통일로 지하602-1(녹번동),서울특별시 은평구 녹번동 55 녹번역(3호선),37.60107,126.9357561
66,314,3,홍제,02-6110-3241,,서울특별시 서대문구 통일로 지하440-1(홍제동),서울특별시 서대문구 홍제동 161-1 홍제역(3호선),37.587691,126.9453229
67,315,3,무악재,02-6110-3251,,서울특별시 서대문구 통일로 지하361(홍제동),서울특별시 서대문구 홍제동 26-1 무악재역(3호선),37.5824225,126.9505664
68,316,3,독립문,02-6110-3261,,서울특별시 서대문구 통일로 지하247(현저동),서울특별시 서대문구 현저동 101 독립문역(3호선),37.572534,126.958325
69,317,3,경복궁(정부서울청사),02-6110-3271,,서울특별시 종로구 사직로 지하130(적선동),서울특별시 종로구 적선동 81-1 경복궁역(3호선),37.5757599,126.9732064
70,318,3,안국,02-6110-3281,,서울특별시 종로구 율곡로 지하62(안국동),서울특별시 종로구 안국동 73-1 안국역(3호선),37.5769513,126.9845219
73,321,3,충무로,02-6110-4231,,서울특별시 중구 퇴계로 지하214(필동2가),서울특별시 중구 필동2가 16-2 충무로역(3호선),37.5612094,126.9943298
74,322,3,동대입구,02-6110-3321,,서울특별시 중구 동호로 지하256(장충동2가),서울특별시 중구 장충동2가 199-3 동대입구역(3호선),37.558126,127.005316
75,323,3,약수,02-6110-3331,,서울특별시 중구 다산로 지하122(신당동),서울특별시 중구 신당동 369-44 약수역(3호선),37.5544473,127.0109908
76,324,3,금호,02-6110-3341,,서울특별시 성동구 동호로 지하104(금호동4가),서울특별시 성동구 금호동4가 1470 금호역(3호선),37.548264,127.016616
77,325,3,옥수,02-6110-3351,,서울특별시 성동구 동호로 21(옥수동),서울특별시 성동구 옥수동 168-1 옥수역(3호선),37.5400509,127.0177866
78,326,3,압구정,02-6110-3361,,서울특별시 강남구 압구정로 지하172(신사동),서울특별시 강남구 신사동 668 압구정역(3호선),37.5235424,127.028309
79,327,3,신사,02-6110-3371,,서울특별시 강남구 도산대로 지하102(신사동),서울특별시 강남구 신사동 667 신사역(3호선),37.5196719,127.0187517
80,328,3,잠원,02-6110-3381,,서울특별시 서초구 잠원로4길 지하46(잠원동),서울특별시 서초구 잠원동 100-1 잠원역(3호선),37.5140695,127.0076626
81,329,3,고속터미널,02-6110-3391,,서울특별시 서초구 신반포로 지하188(반포동),서울특별시 서초구 반포동 19-11 고속터미널역(3호선),37.5049142,127.0049151
83,331,3,남부터미널(예술의전당),02-6110-3411,,서울특별시 서초구 서초중앙로 지하31(서초동),서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),37.484918,127.01629
84,332,3,양재(서초구청),02-6110-3421,,서울특별시 서초구 남부순환로 지하2585(서초동),서울특별시 서초구 서초동 1366-9 양재역(3호선),37.4847785,127.0333843
85,333,3,매봉,02-6110-3431,,서울특별시 강남구 남부순환로 지하2744(도곡동),서울특별시 강남구 도곡동 179-2 매봉역(3호선),37.4869934,127.0466807
86,334,3,도곡,02-6110-3441,,서울특별시 강남구 남부순환로 지하2814(도곡동),서울특별시 강남구 도곡동 339-2 도곡역(3호선),37.490719,127.0549212
87,335,3,대치,02-6110-3451,,서울특별시 강남구 남부순환로 지하2952(대치동),서울특별시 강남구 대치동 317-3 대치역(3호선),37.508472,127.063976
88,336,3,학여울,02-6110-3461,,서울특별시 강남구 남부순환로 지하3104(대치동),서울특별시 강남구 대치동 514-3 학여울역(3호선),37.4967333,127.0718403
89,337,3,대청,02-6110-3471,,서울특별시 강남구 일원로 지하2(일원동),서울특별시 강남구 일원동 700-9 대청역(3호선),37.4936578,127.0795603
90,338,3,일원,02-6110-3481,,서울특별시 강남구 일원로 지하121(일원동),서울특별시 강남구 일원동 717 일원역(3호선),37.4840007,127.0844516
91,339,3,수서,02-6110-3491,,서울특별시 강남구 광평로 지하270(수서동),서울특별시 강남구 수서동 728 수서역(3호선),37.4882573,127.1005798
92,340,3,가락시장,02-6110-3501,,서울특별시 송파구 송파대로 지하257(가락동),서울특별시 송파구 가락동 184-23 가락시장역(3호선),37.4929144,127.1182155
93,341,3,경찰병원,02-6110-3511,,서울특별시 송파구 중대로 지하149(가락동),서울특별시 송파구 가락동 10-15 경찰병원역(3호선),37.495701,127.124206
94,342,3,오금,02-6110-3521,,서울특별시 송파구 오금로 지하321(오금동),서울특별시 송파구 오금동 44-2 오금역(3호선),37.5020632,127.1280374
95,409,4,당고개,02-6110-4091,,서울특별시 노원구 상계로 305(상계동),서울특별시 노원구 상계동 111 당고개역(4호선),37.670607,127.0793321
96,410,4,상계,02-6110-4101,,서울특별시 노원구 상계로 182(상계동),서울특별시 노원구 상계동 156-203 상계역(4호선),37.6610573,127.0736304
97,411,4,노원,02-6110-4111,,서울특별시 노원구 상계로 69-1(상계동),서울특별시 노원구 상계동 602-5 노원역(4호선),37.6561147,127.0623967
98,412,4,창동,02-6110-4121,,서울특별시 도봉구 마들로11길 77(창동),서울특별시 도봉구 창동 135-1 창동역(4호선),37.65276,127.047945
99,413,4,쌍문,02-6110-4131,,서울특별시 도봉구 도봉로 지하 486-1(창동),서울특별시 도봉구 창동 703-4 쌍문역(4호선),37.6490571,127.0350866
100,414,4,수유(강북구청),02-6110-4141,,서울특별시 강북구 도봉로 지하338(수유동),서울특별시 강북구 수유동 140 수유역(4호선),37.6397753,127.0272077
101,415,4,미아(서울사이버대학),02-6110-4151,,서울특별시 강북구 도봉로 지하198(미아동),서울특별시 강북구 미아동 194-1 미아역(4호선),37.6294541,127.0247467
102,416,4,미아사거리,02-6110-4161,,서울특별시 강북구 도봉로 지하50(미아동),서울특별시 강북구 미아동 66-1 미아사거리역(4호선),37.6149927,127.0300333
103,417,4,길음,02-6110-4171,,서울특별시 성북구 동소문로 지하248(길음동),서울특별시 성북구 길음동 877-66 길음역(4호선),37.6022737,127.0213558
104,418,4,성신여대입구(돈암),02-6110-4181,,서울특별시 성북구 동소문로 지하102(동선동4가),서울특별시 성북구 동선동4가 1 성신여대입구역(4호선),37.5930982,127.016781
105,419,4,한성대입구(삼선교),02-6110-4191,,서울특별시 성북구 삼선교로 지하1(삼선동1가),서울특별시 성북구 삼선동1가 14 한성대입구역(4호선),37.5880209,127.0057966
106,420,4,혜화,02-6110-4201,,서울특별시 종로구 대학로 지하120(명륜4가),서울특별시 종로구 명륜4가 96-5 혜화역(4호선),37.5821323,127.0018148
110,424,4,명동,02-6110-4241,,서울특별시 중구 퇴계로 지하126(충무로2가),서울특별시 중구 충무로2가 109-2 명동역(4호선),37.5608395,126.9857354
111,425,4,회현(남대문시장),02-6110-4251,,서울특별시 중구 퇴계로 지하54(남창동),서울특별시 중구 남창동 64-1 회현역(4호선),37.5588566,126.9776481
113,427,4,숙대입구(갈월),02-6110-4271,,서울특별시 용산구 한강대로 지하306(갈월동),서울특별시 용산구 갈월동 16-7 숙대입구역(4호선),37.5455647,126.97194
114,428,4,삼각지,02-6110-4281,,서울특별시 용산구 한강대로 지하180(한강로1가),서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),37.5346526,126.9732218
115,429,4,신용산,02-6110-4291,,서울특별시 용산구 한강대로 지하112(한강로2가),서울특별시 용산구 한강로2가 181 신용산역(4호선),37.5292697,126.9680553
116,430,4,이촌(국립중앙박물관),02-6110-4301,,서울특별시 용산구 서빙고로 지하83(용산동5가),서울특별시 용산구 용산동5가 17-112 이촌역(4호선),37.5219498,126.9753786
117,431,4,동작(현충원),02-6110-4311,,서울특별시 동작구 현충로 257(동작동),서울특별시 동작구 동작동 327-1 동작역(4호선),37.502915,126.980341
118,432,4,총신대입구(이수),02-6110-4321,,서울특별시 동작구 동작대로 지하117(사당동),서울특별시 동작구 사당동 736-1 총신대입구(이수)역(4호선),37.4880709,126.9822791
120,434,4,남태령,02-6110-4341,,서울특별시 서초구 과천대로 지하816(방배동),서울특별시 서초구 방배동 2909 남태령역(4호선),37.4642423,126.989112
121,2511,5,방화,02-6311-5101,,서울특별시 강서구 금낭화로 지하132(방화동),서울특별시 강서구 방화동 829-15 방화역(5호선),37.5772589,126.8126686
122,2512,5,개화산,02-6311-5111,,서울특별시 강서구 양천로 22(방화동),서울특별시 강서구 방화동 846 개화산역(5호선),37.5723147,126.8057586
123,2513,5,김포공항,02-6311-5121,,서울특별시 강서구 하늘길 지하77(방화동),서울특별시 강서구 방화동 886 김포공항역(5호선),37.56224,126.801396
124,2514,5,송정,02-6311-5131,,서울특별시 강서구 공항대로 지하33(공항동),서울특별시 강서구 공항동 29-5 송정역(5호선),37.5614789,126.810506
125,2515,5,마곡,02-6311-5141,,서울특별시 강서구 공항대로 지하163(마곡동),서울특별시 강서구 마곡동 769-3 마곡역(5호선),37.5602625,126.8250576
126,2516,5,발산,02-6311-5151,,서울특별시 강서구 공항대로 지하267(마곡동),서울특별시 강서구 마곡동 727-1496 발산역(5호선),37.5706297,126.8298909
127,2517,5,우장산,02-6311-5161,,서울특별시 강서구 강서로 지하262(화곡동),서울특별시 강서구 화곡동 1089-3 우장산역(5호선),37.549224,126.8364139
128,2518,5,화곡,02-6311-5171,,서울특별시 강서구 화곡로 지하168(화곡동),서울특별시 강서구 화곡동 1089-54 화곡역(5호선),37.5412334,126.840796
129,2519,5,까치산,02-6311-5181,,서울특별시 강서구 강서로 지하54(화곡동),서울특별시 강서구 화곡동 662-5 까치산역(5호선),37.5325387,126.8462605
130,2520,5,신정(은행정),02-6311-5191,,서울특별시 양천구 오목로 지하179(신정동),서울특별시 양천구 신정동 1090 신정역(5호선),37.524987,126.856181
131,2521,5,목동,02-6311-5201,,서울특별시 양천구 오목로 지하245(목동),서울특별시 양천구 목동 926-3 목동역(5호선),37.5260577,126.8645378
132,2522,5,오목교(목동운동장앞),02-6311-5211,,서울특별시 양천구 오목로 지하342(목동),서울특별시 양천구 목동 406-30 오목교역(5호선),37.5246783,126.8740097
133,2523,5,양평,02-6311-5221,,서울특별시 영등포구 양산로 지하21(양평동2가),서울특별시 영등포구 양평동2가 33-79 양평역(5호선),37.5253177,126.8859538
135,2525,5,영등포시장,02-6311-5241,,서울특별시 영등포구 양산로 지하200(영등포동5가),서울특별시 영등포구 영등포동5가 62-1 영등포시장역(5호선),37.5222259,126.9056815
136,2526,5,신길,02-6311-5251,,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),서울특별시 영등포구 영등포동1가 35 신길역(5호선),37.518467,126.914891
137,2527,5,여의도,02-6311-5261,,서울특별시 영등포구 여의나루로 지하40(여의도동),서울특별시 영등포구 여의도동 3 여의도역(5호선),37.5232487,126.9269358
138,2528,5,여의나루,02-6311-5271,,서울특별시 영등포구 여의동로 지하343(여의도동),서울특별시 영등포구 여의도동 84-4 여의나루역(5호선),37.5281722,126.9325109
139,2529,5,마포,02-6311-5281,,서울특별시 마포구 마포대로 지하33(도화동),서울특별시 마포구 도화동 160 마포역(5호선),37.5397511,126.9500266
140,2530,5,공덕,02-6311-5291,,서울특별시 마포구 마포대로 지하100(공덕동),서울특별시 마포구 공덕동 423-29 공덕역(5호선),37.544486,126.951195
141,2531,5,애오개,02-6311-5301,,서울특별시 마포구 마포대로 지하210(아현동),서울특별시 마포구 아현동 612 애오개역(5호선),37.5540433,126.9566119
143,2533,5,서대문,02-6311-5321,,서울특별시 종로구 통일로 지하126(평동),서울특별시 종로구 평동 210 서대문역(5호선),37.5661705,126.9668868
144,2534,5,광화문(세종문화회관),02-6311-5331,,서울특별시 종로구 세종대로 지하172(세종로),서울특별시 종로구 세종로 1-68 5호선 광화문역(5호선),37.5709047,126.9780327
145,2535,5,종로3가(탑골공원),02-6311-5341,,서울특별시 종로구 돈화문로11길 지하 26(돈의동),서울특별시 종로구 돈의동 39-1 5호선 종로3가역(5호선),37.570436,126.992148
148,2538,5,청구,02-6311-5371,,서울특별시 중구 청구로 지하77(신당동),서울특별시 중구 신당동 295-2 청구역(5호선),37.5603474,127.0138712
149,2539,5,신금호,02-6311-5381,,서울특별시 성동구 금호로 지하154(금호동2가),서울특별시 성동구 금호동2가 223-1 신금호역(5호선),37.554664,127.0197918
150,2540,5,행당,02-6311-5391,,서울특별시 성동구 행당로 지하89(행당동),서울특별시 성동구 행당동 317-241 행당역(5호선),37.5567843,127.0283838
152,2542,5,마장,02-6311-5411,,서울특별시 성동구 마장로 지하296(마장동),서울특별시 성동구 마장동 804 마장역(5호선),37.566127,127.042965
153,2543,5,답십리,02-6311-5421,,서울특별시 성동구 천호대로 지하300(용답동),서울특별시 성동구 용답동 99 답십리역(5호선),37.567072,127.052382
154,2544,5,장한평,02-6311-5431,,서울특별시 동대문구 천호대로 지하405(장안동),서울특별시 동대문구 장안동 472-3 장한평역(5호선),37.5614617,127.0644188
155,2545,5,군자(능동),02-6311-5441,,서울특별시 광진구 천호대로 지하550(능동),서울특별시 광진구 능동 275-5 군자(능동)역(5호선),37.5567294,127.0805348
156,2546,5,아차산(어린이대공원후문),02-6311-5451,,서울특별시 광진구 천호대로 지하657(능동),서울특별시 광진구 능동 256-16 5호선 아차산역(5호선),37.552649,127.08924
157,2547,5,광나루(장신대),02-6311-5461,,서울특별시 광진구 아차산로 지하571(광장동),서울특별시 광진구 광장동 237 광나루역(5호선),37.54517,127.1035032
158,2548,5,천호(풍납토성),02-6311-5471,,서울특별시 강동구 천호대로 지하997(천호동),서울특별시 강동구 천호동 455 천호역(5호선),37.5385033,127.1251119
159,2549,5,강동,02-6311-5481,,서울특별시 강동구 천호대로 지하1097(천호동),서울특별시 강동구 천호동 447 강동역(5호선),37.5355692,127.1341774
160,2550,5,길동,02-6311-5491,,서울특별시 강동구 양재대로 지하1480(길동),서울특별시 강동구 길동 378 길동역(5호선),37.537776,127.140009
161,2551,5,굽은다리(강동구민회관앞),02-6311-5501,,서울특별시 강동구 양재대로 지하1572(명일동),서울특별시 강동구 명일동 345-12 굽은다리역(5호선),37.5460516,127.1431682
162,2552,5,명일,02-6311-5511,,서울특별시 강동구 양재대로 지하1632(명일동),서울특별시 강동구 명일동 312 명일역(5호선),37.5512727,127.1423986
163,2553,5,고덕,02-6311-5521,,서울특별시 강동구 고덕로 지하253(고덕동),서울특별시 강동구 고덕동 310 고덕역(5호선),37.5555393,127.1535638
164,2554,5,상일동,02-6311-5531,,서울특별시 강동구 고덕로 지하359(상일동),서울특별시 강동구 상일동 148 상일동역(5호선),37.5528183,127.1568023
165,2555,5,둔촌동,02-6311-5541,,서울특별시 강동구 양재대로 지하1369(둔촌동),서울특별시 강동구 둔촌동 416 둔촌동역(5호선),37.5282539,127.1447139
166,2556,5,올림픽공원(한국체대),02-6311-5551,,서울특별시 송파구 양재대로 지하1233(방이동),서울특별시 송파구 방이동 89-28 올림픽공원역(5호선),37.5165504,127.1311343
167,2557,5,방이,02-6311-5561,,서울특별시 송파구 양재대로 지하1127(방이동),서울특별시 송파구 방이동 217-2 방이역(5호선),37.5080336,127.1254537
169,2559,5,개롱,02-6311-5581,,서울특별시 송파구 오금로 지하402(가락동),서울특별시 송파구 가락동 165-2 개롱역(5호선),37.4985573,127.13382
170,2560,5,거여,02-6311-5591,,서울특별시 송파구 오금로 지하499(거여동),서울특별시 송파구 거여동 20-14 거여역(5호선),37.494248,127.1420247
171,2561,5,마천,02-6311-5601,,서울특별시 송파구 마천로57길 지하7(마천동),서울특별시 송파구 마천동 307-4 마천역(5호선),37.495027,127.152806
172,2562,5,강일,02-6311-5611,,서울특별시 강동구 고덕로 지하456(강일동),서울특별시 강동구 상일동 산73 강일역(5호선),37.557471,127.17571
173,2563,5,미사,02-6311-5621,,경기도 하남시 미사강변동로 지하90(망월동),경기도 하남시 망월동 1122 미사역(5호선),37.5660773,127.1915907
174,2564,5,하남풍산,02-6311-5631,,경기도 하남시 덕풍서로 지하50(덕풍동),경기도 하남시 덕풍동 727-3 하남풍산역(5호선),37.552059,127.20388
175,2565,5,하남시청(덕풍?신장),02-6311-5641,,경기도 하남시 하남대로 지하820(덕풍동),경기도 하남시 덕풍동 405-1 하남시청(덕풍신장)역(5호선),37.5419669,127.2062976
176,2566,5,하남검단산,02-6311-5651,,경기도 하남시 대청로 지하100(창우동),경기도 하남시 창우동 526 하남검단산역(5호선),37.539827,127.2231
177,2611,6,응암,02-6311-6101,,서울특별시 은평구 증산로 지하477(신사동),서울특별시 은평구 신사동 22-15 응암역(6호선),37.5984153,126.9148755
178,2612,6,역촌,02-6311-6111,,서울특별시 은평구 서오릉로 지하63(녹번동),서울특별시 은평구 녹번동 153-31 역촌역(6호선),37.6054128,126.9232712
180,2614,6,독바위,02-6311-6131,,서울특별시 은평구 불광로 지하129-1(불광동),서울특별시 은평구 불광동 13-33 독바위역(6호선),37.618397,126.933056
182,2616,6,구산,02-6311-6151,,서울특별시 은평구 연서로 지하137-1(구산동),서울특별시 은평구 구산동 1 구산역(6호선),37.611115,126.9163485
183,2617,6,새절(신사),02-6311-6161,,서울특별시 은평구 증산로 지하400(신사동),서울특별시 은평구 신사동 337-5 새절역(6호선),37.5911594,126.9132854
184,2618,6,증산(명지대앞),02-6311-6171,,서울특별시 은평구 증산로 지하306(증산동),서울특별시 은평구 증산동 199-8 증산역(6호선),37.5836499,126.9093766
185,2619,6,디지털미디어시티,02-6311-6181,,서울특별시 은평구 수색로 지하175(증산동),서울특별시 은평구 증산동 223-25 디지털미디어시티역(6호선),37.5774499,126.9021537
